chr	start	end	TargetGene	PctChange	Significant	Regulated	IncludeInModel	CustomTargetGeneTSS	strand	PrimaryTissue	NeighborhoodCellLine	PerturbMethod	Clonality	RNAReadoutMethod	Reference	Notes	Reason	nKO	semKO	nCtrl	semCtrl	lfcSE	padj	ClassAnnotation	nTests	PowerAtEffectSize=0.1	PowerAtEffectSize=0.2	PowerAtEffectSize=0.25	PowerAtEffectSize=0.5	CellType	TargetGeneTSS	region.id
chr19	49258505	49259065	FUT1	-0.7513205	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	76	0.0315002979699	970	0.00830142012224	NA	2.21306999099e-101		171	0.814576057076	0.999963248187	0.99999998096	1	K562	NA	NA
chr19	49277645	49278145	FUT1	0.0125279	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	16	0.0665184952898	970	0.00830142012224	NA	0.989608168769		171	0.230981149519	0.775220289057	0.933455881869	0.999999915911	K562	NA	NA
chr19	49284045	49284685	FUT1	-0.1789663	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	24	0.0469567128345	970	0.00830142012224	NA	0.0177719748379		171	0.317802544424	0.947731896277	0.996227715609	1	K562	NA	NA
chr19	49287765	49288285	FUT1	-0.01574449	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	40	0.0449159010142	970	0.00830142012224	NA	0.989608168769		171	0.537485400817	0.988796752918	0.999635001466	1	K562	NA	NA
chr19	49291305	49291865	FUT1	0.01903407	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	25	0.0677101659675	970	0.00830142012224	NA	0.989608168769		171	0.380747666664	0.877461296645	0.970976490938	0.99999998652	K562	NA	NA
chr19	49298545	49299065	FUT1	0.03407735	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	79	0.0296253839224	970	0.00830142012224	NA	0.856127832851		171	0.841482654063	0.999989352416	0.999999997899	1	K562	NA	NA
chr19	49309805	49310825	FUT1	-0.0039405	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	153	0.022517481364	970	0.00830142012224	NA	0.989608168769		171	0.977387531322	0.999999999657	1	1	K562	NA	NA
chr19	49314070	49314625	FUT1	-0.02949098	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	86	0.0221835086459	970	0.00830142012224	NA	0.88839409719		171	0.92751690365	0.999999993244	1	1	K562	NA	NA
chr19	49315365	49315905	FUT1	0.0130806	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	90	0.0245178795293	970	0.00830142012224	NA	0.989608168769		171	0.914447239773	0.999999916104	1	1	K562	NA	NA
chr19	49319185	49319685	FUT1	0.03713203	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	45	0.0380098861464	970	0.00830142012224	NA	0.88839409719		171	0.601056992152	0.997646216434	0.999980349026	1	K562	NA	NA
chr19	49322685	49323205	FUT1	0.00455921	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	54	0.0293128391242	970	0.00830142012224	NA	0.989608168769		171	0.723277262605	0.999946685423	0.999999982678	1	K562	NA	NA
chr19	49333325	49333845	FUT1	-0.0169619	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	25	0.072858037512	970	0.00830142012224	NA	0.989608168769		171	0.386810778091	0.859051511757	0.960619614318	0.999999881183	K562	NA	NA
chr19	49338885	49339405	FUT1	0.02357879	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	63	0.027798331165	970	0.00830142012224	NA	0.980178614793		171	0.794189597653	0.999990136861	0.99999999896	1	K562	NA	NA
chr19	49345685	49346405	FUT1	-0.00229099	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	46	0.0323374311694	970	0.00830142012224	NA	0.989608168769		171	0.633698329333	0.999576460737	0.99999933283	1	K562	NA	NA
chr19	49347645	49348165	FUT1	0.03999224	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	26	0.0584532330022	970	0.00830142012224	NA	0.953197679467		171	0.380903476642	0.917836458534	0.987374846649	0.999999999952	K562	NA	NA
chr19	49357245	49357765	FUT1	0.04104531	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	44	0.0346584339921	970	0.00830142012224	NA	0.88839409719		171	0.603391223837	0.998922766298	0.999996107927	1	K562	NA	NA
chr19	49361765	49362265	FUT1	0.01597046	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	56	0.0285559915047	970	0.00830142012224	NA	0.989608168769		171	0.743996214445	0.99997070237	0.999999994	1	K562	NA	NA
chr19	49362425	49362945	FUT1	-0.02190811	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	93	0.0239781535489	970	0.00830142012224	NA	0.953197679467		171	0.924459834098	0.999999962066	1	1	K562	NA	NA
chr19	49363225	49363765	FUT1	-0.02138267	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	83	0.019435398293	970	0.00830142012224	NA	0.97400393512		171	0.945398172445	0.99999999988	1	1	K562	NA	NA
chr19	49370285	49370805	FUT1	0.03629398	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	56	0.032392490757	970	0.00830142012224	NA	0.88839409719		171	0.715759320293	0.99981512429	0.999999785962	1	K562	NA	NA
chr19	49375325	49375898	FUT1	0.00019877	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	67	0.0288368172922	970	0.00830142012224	NA	0.99412419143		171	0.804779227272	0.999986130124	0.999999997651	1	K562	NA	NA
chr19	49376085	49376585	FUT1	-0.01080331	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	67	0.0266736789005	970	0.00830142012224	NA	0.989608168769		171	0.82455158407	0.999996796765	0.999999999853	1	K562	NA	NA
chr19	49376745	49377245	FUT1	0.05915206	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	58	0.0308735456064	970	0.00830142012224	NA	0.584520377494		171	0.73956692064	0.999918353414	0.999999951935	1	K562	NA	NA
chr19	49377625	49378145	FUT1	0.03505061	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	80	0.0260262446047	970	0.00830142012224	NA	0.856127832851		171	0.877598534855	0.999999295196	0.999999999986	1	K562	NA	NA
chr19	49378405	49379925	FUT1	-0.07182317	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	11	0.080230000398	970	0.00830142012224	NA	0.88839409719		171	0.163061176001	0.601736037266	0.809958114784	0.999965139483	K562	NA	NA
chr19	49381225	49382185	FUT1	-0.01898407	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	28	0.0418060429796	970	0.00830142012224	NA	0.989608168769		171	0.381602657079	0.979568449987	0.99935458741	1	K562	NA	NA
chr19	49391365	49391905	FUT1	0.05100309	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	44	0.0515824815744	970	0.00830142012224	NA	0.856127832851		171	0.557027353484	0.980178583027	0.998712808325	1	K562	NA	NA
chr19	49393745	49394245	FUT1	-0.01025596	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	46	0.0364000384172	970	0.00830142012224	NA	0.989608168769		171	0.616119427666	0.998529227098	0.999991948012	1	K562	NA	NA
chr19	49395065	49395625	FUT1	0.07941647	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	14	0.0492117497117	970	0.00830142012224	NA	0.856127832851		171	0.120479918259	0.797051421286	0.966598609818	0.999999999996	K562	NA	NA
chr19	49399345	49399905	FUT1	0.02761389	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	89	0.0216413279251	970	0.00830142012224	NA	0.88839409719		171	0.937734036816	0.999999997547	1	1	K562	NA	NA
chr19	49403056	49403725	FUT1	0.03844562	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	80	0.0238424348331	970	0.00830142012224	NA	0.856127832851		171	0.898315740048	0.999999916605	1	1	K562	NA	NA
chr19	49421898	49422585	FUT1	0.04951589	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	106	0.0213224877191	970	0.00830142012224	NA	0.478344152517		171	0.961262712413	0.999999999577	1	1	K562	NA	NA
chr19	49430065	49430565	FUT1	0.01411225	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	31	0.0437374728022	970	0.00830142012224	NA	0.989608168769		171	0.432117928693	0.981019798413	0.999309074566	1	K562	NA	NA
chr19	49436585	49437188	FUT1	-0.02709315	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	86	0.0201441704625	970	0.00830142012224	NA	0.88839409719		171	0.945026710395	0.999999999696	1	1	K562	NA	NA
chr19	49446285	49446805	FUT1	-0.09010542	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	26	0.0405583129832	970	0.00830142012224	NA	0.582232277787		171	0.341753142993	0.977669046421	0.999349091408	1	K562	NA	NA
chr19	49454265	49454865	FUT1	0.04512615	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	12	0.0541154265018	970	0.00830142012224	NA	0.989608168769		171	0.0968678884929	0.700878517722	0.925094126654	0.999999999052	K562	NA	NA
chr19	49457745	49458366	FUT1	0.02705621	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	93	0.0259490816236	970	0.00830142012224	NA	0.88839409719		171	0.907103055007	0.999999703643	0.999999999996	1	K562	NA	NA
chr19	49465505	49466025	FUT1	0.01120016	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	90	0.0240389081944	970	0.00830142012224	NA	0.989608168769		171	0.918710651673	0.999999950491	1	1	K562	NA	NA
chr19	49466965	49467465	FUT1	-0.04103355	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	89	0.0231459065649	970	0.00830142012224	NA	0.810120048466		171	0.924758599287	0.999999981499	1	1	K562	NA	NA
chr19	49467725	49468815	FUT1	0.03679575	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	88	0.0253846929405	970	0.00830142012224	NA	0.856127832851		171	0.902701914439	0.999999768875	0.999999999998	1	K562	NA	NA
chr19	49469005	49469505	FUT1	0.01003462	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	24	0.0550032502644	970	0.00830142012224	NA	0.989608168769		171	0.344882256788	0.919024551477	0.989201953357	0.999999999994	K562	NA	NA
chr19	49470805	49471705	FUT1	0.04799886	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	44	0.043334019382	970	0.00830142012224	NA	0.856127832851		171	0.576211593367	0.993027057055	0.999835846828	1	K562	NA	NA
chr19	49473045	49473565	FUT1	0.03170346	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	43	0.0370937513664	970	0.00830142012224	NA	0.953197679467		171	0.584873593611	0.997780634752	0.999984127345	1	K562	NA	NA
chr19	49474085	49474605	FUT1	-0.0605416	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	81	0.0221759895501	970	0.00830142012224	NA	0.416830966527		171	0.916582586529	0.999999989625	1	1	K562	NA	NA
chr19	49479345	49479885	FUT1	-0.02790201	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	48	0.0341360528947	970	0.00830142012224	NA	0.97400393512		171	0.644031878421	0.999349478895	0.999998249473	1	K562	NA	NA
chr19	49482085	49482585	FUT1	0.01800239	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	47	0.0421058629175	970	0.00830142012224	NA	0.989608168769		171	0.603563297414	0.995238610902	0.999914275514	1	K562	NA	NA
chr19	49486785	49487285	FUT1	0.11821384	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	39	0.0452102190087	970	0.00830142012224	NA	0.0777535728443		171	0.527430549133	0.987594452462	0.999569019167	1	K562	NA	NA
chr19	49495365	49495905	FUT1	0.00719638	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	91	0.0247907164191	970	0.00830142012224	NA	0.989608168769		171	0.913855612336	0.999999894796	0.999999999999	1	K562	NA	NA
chr19	49496360	49497345	FUT1	-0.00896887	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	140	0.0209643681089	970	0.00830142012224	NA	0.989608168769		171	0.981157010235	0.999999999963	1	1	K562	NA	NA
chr19	49520885	49521385	FUT1	0.04175714	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	89	0.0254578750925	970	0.00830142012224	NA	0.810120048466		171	0.904054959021	0.999999766665	0.999999999998	1	K562	NA	NA
chr19	49522305	49523045	FUT1	0.02554557	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	66	0.0336725140116	970	0.00830142012224	NA	0.953197679467		171	0.760628544536	0.999835782082	0.999999759193	1	K562	NA	NA
chr19	49534785	49535418	FUT1	-0.09993229	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	26	0.0318391786196	970	0.00830142012224	NA	0.438257105877		171	0.30788296511	0.994414776944	0.999975137057	1	K562	NA	NA
chr19	49539941	49540505	FUT1	-0.06922093	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	23	0.0260130865732	970	0.00830142012224	NA	0.856127832851		171	0.193916655789	0.997434583794	0.999998170179	1	K562	NA	NA
chr19	49541805	49542325	FUT1	-0.04874794	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	44	0.0335321762884	970	0.00830142012224	NA	0.856127832851		171	0.607682502164	0.999232814832	0.999998039371	1	K562	NA	NA
chr19	49558747	49559725	FUT1	0.00463239	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	87	0.0234362589569	970	0.00830142012224	NA	0.989608168769		171	0.918330669864	0.99999996952	1	1	K562	NA	NA
chr19	49574965	49575505	FUT1	-0.00391229	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	85	0.0206003123951	970	0.00830142012224	NA	0.989608168769		171	0.939360457453	0.999999999284	1	1	K562	NA	NA
chr19	49577085	49577585	FUT1	0.06140894	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	57	0.0317414790713	970	0.00830142012224	NA	0.582232277787		171	0.726834400291	0.999869493345	0.99999988615	1	K562	NA	NA
chr19	49584465	49584965	FUT1	-0.04178114	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	23	0.0507126811908	970	0.00830142012224	NA	0.953197679467		171	0.316857623383	0.92914990629	0.992706745569	1	K562	NA	NA
chr19	49588146	49588845	FUT1	0.01515471	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	85	0.026820871617	970	0.00830142012224	NA	0.989608168769		171	0.882915933661	0.999998990067	0.999999999968	1	K562	NA	NA
chr19	49600945	49601505	FUT1	-0.03487581	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	58	0.0305613920606	970	0.00830142012224	NA	0.88839409719		171	0.741924944702	0.999929661321	0.999999963942	1	K562	NA	NA
chr19	49609745	49610265	FUT1	0.0751171	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	55	0.0587338422323	970	0.00830142012224	NA	0.416830966527		171	0.594792056387	0.97293093972	0.997185546017	0.999999999999	K562	NA	NA
chr19	49613725	49614245	FUT1	-0.02966131	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	16	0.0390646961415	970	0.00830142012224	NA	0.989608168769		171	0.113750386291	0.902705363165	0.994599835234	1	K562	NA	NA
chr19	49616845	49617867	FUT1	0.00344899	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	130	0.0202172698244	970	0.00830142012224	NA	0.989608168769		171	0.981314861305	0.999999999986	1	1	K562	NA	NA
chr19	49619745	49620265	FUT1	-0.00556161	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	46	0.0291786609111	970	0.00830142012224	NA	0.989608168769		171	0.649805579262	0.999883906259	0.99999995071	1	K562	NA	NA
chr19	49621765	49622895	FUT1	-0.00048629	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	155	0.0189999905511	970	0.00830142012224	NA	0.989608168769		171	0.991488842642	1	1	1	K562	NA	NA
chr19	49631065	49631765	FUT1	-0.01207217	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	103	0.0207488033368	970	0.00830142012224	NA	0.989608168769		171	0.962424148049	0.9999999998	1	1	K562	NA	NA
chr19	49632465	49632985	FUT1	0.00640578	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	106	0.0239057399484	970	0.00830142012224	NA	0.989608168769		171	0.942319344389	0.999999983635	1	1	K562	NA	NA
chr19	49636645	49637145	FUT1	-0.00957194	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	70	0.0284212645619	970	0.00830142012224	NA	0.989608168769		171	0.821397492733	0.999991385671	0.99999999893	1	K562	NA	NA
chr19	49639205	49639745	FUT1	0.01008293	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	54	0.0432228895692	970	0.00830142012224	NA	0.989608168769		171	0.644546074326	0.995887610589	0.999921185517	1	K562	NA	NA
chr19	49646085	49646585	FUT1	-0.01085081	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	81	0.0257227284514	970	0.00830142012224	NA	0.989608168769		171	0.883176615145	0.999999497695	0.999999999992	1	K562	NA	NA
chr19	49650945	49651825	FUT1	-0.02558226	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	94	0.0215892190757	970	0.00830142012224	NA	0.88839409719		171	0.945897218527	0.999999998482	1	1	K562	NA	NA
chr19	49652425	49653365	FUT1	-0.00709831	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	92	0.0226358884105	970	0.00830142012224	NA	0.989608168769		171	0.934315358761	0.999999992269	1	1	K562	NA	NA
chr19	49653525	49654085	FUT1	0.00272556	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	123	0.0204652490204	970	0.00830142012224	NA	0.989608168769		171	0.977296855115	0.999999999967	1	1	K562	NA	NA
chr19	49654785	49655285	FUT1	-0.03203864	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	69	0.0268714883902	970	0.00830142012224	NA	0.88839409719		171	0.83156586393	0.999996848823	0.999999999845	1	K562	NA	NA
chr19	49658165	49659745	FUT1	-0.00270935	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	116	0.0192638412817	970	0.00830142012224	NA	0.989608168769		171	0.979978568267	0.999999999995	1	1	K562	NA	NA
chr19	49660745	49661725	FUT1	0.00170338	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	100	0.023793466889	970	0.00830142012224	NA	0.989608168769		171	0.936203512647	0.999999980119	1	1	K562	NA	NA
chr19	49665225	49665725	FUT1	0.03275427	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	31	0.0394150580897	970	0.00830142012224	NA	0.981780537252		171	0.42768958055	0.989286537402	0.999801216622	1	K562	NA	NA
chr19	49680225	49680725	FUT1	-0.07520654	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	50	0.0344137425641	970	0.00830142012224	NA	0.416830966527		171	0.659557157345	0.999394012459	0.999998327748	1	K562	NA	NA
chr19	49702045	49702565	FUT1	-0.04666043	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	24	0.0369175282359	970	0.00830142012224	NA	0.906326393031		171	0.286230288033	0.981160013229	0.999662694007	1	K562	NA	NA
chr19	49703485	49704025	FUT1	-0.00317375	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	78	0.0296020571648	970	0.00830142012224	NA	0.989608168769		171	0.838730852711	0.999988919178	0.999999997798	1	K562	NA	NA
chr19	49710985	49711965	FUT1	0.09684615	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	10	0.0570027003332	970	0.00830142012224	NA	0.856127832851		171	0.0647050489199	0.586892368288	0.861603839374	0.99999997143	K562	NA	NA
chr19	49713185	49714125	FUT1	-0.00575138	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	123	0.0216295231107	970	0.00830142012224	NA	0.989608168769		171	0.970947330727	0.999999999737	1	1	K562	NA	NA
chr19	49716965	49717525	FUT1	-0.01575792	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	43	0.0211355842468	970	0.00830142012224	NA	0.989608168769		171	0.658965654693	0.999999258417	0.999999999999	1	K562	NA	NA
chr19	49728025	49728545	FUT1	-0.01031106	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	32	0.0392944700345	970	0.00830142012224	NA	0.989608168769		171	0.443373739827	0.990550271245	0.999836222565	1	K562	NA	NA
chr19	49729185	49729685	FUT1	0.00419629	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	40	0.039352938799	970	0.00830142012224	NA	0.989608168769		171	0.547645383351	0.995421041907	0.999940771063	1	K562	NA	NA
chr19	49804405	49804965	FUT1	-0.01261061	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	79	0.0258816755014	970	0.00830142012224	NA	0.989608168769		171	0.87614292867	0.999999334405	0.999999999988	1	K562	NA	NA
chr19	49831025	49831585	FUT1	0.01659173	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	35	0.0412012542626	970	0.00830142012224	NA	0.989608168769		171	0.486159962072	0.99047617761	0.999795529245	1	K562	NA	NA
chr19	49831645	49832165	FUT1	0.05104102	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	27	0.0569230498226	970	0.00830142012224	NA	0.88839409719		171	0.392203876849	0.928510809234	0.990201455462	0.999999999988	K562	NA	NA
chr19	49834705	49835265	FUT1	0.04389256	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	38	0.0397008469433	970	0.00830142012224	NA	0.88839409719		171	0.52444560106	0.994245135383	0.999914903081	1	K562	NA	NA
chr19	49838085	49838926	FUT1	0.03938777	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	71	0.0264018908726	970	0.00830142012224	NA	0.856127832851		171	0.844205717185	0.999998127947	0.999999999937	1	K562	NA	NA
chr19	49842065	49842605	FUT1	-0.00084528	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	84	0.0294495376403	970	0.00830142012224	NA	0.989608168769		171	0.856456640553	0.999992638988	0.999999998791	1	K562	NA	NA
chr19	49843445	49843945	FUT1	0.0389431	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	59	0.0332806872115	970	0.00830142012224	NA	0.856127832851		171	0.728186957759	0.999786458118	0.999999682842	1	K562	NA	NA
